accession
GCF_001995195.1
GCF_008118365.1
GCF_002018145.1
GCF_001443305.1
GCF_002073495.2
GCF_008629705.1
GCF_009721635.1
GCF_010978155.1
GCF_013358565.1
GCF_017653725.1
GCF_017653755.1
GCF_017653785.1
GCF_017653825.1
GCF_017653845.1
GCF_017653855.1
GCF_017653945.1
GCF_017653965.1
GCF_017653985.1
GCF_017654025.1
GCF_017654055.1
GCF_017654085.1
GCF_017654105.1
GCF_001857845.1
GCF_001969075.1
GCF_015162495.1
GCF_015162505.1
GCF_015162605.1
GCF_015162815.1
GCF_015162835.1
GCF_015318485.1
GCF_015318515.1
GCF_015318565.1
GCF_000758025.1
GCF_002076815.1
GCF_014858815.1
GCF_014858895.1
GCF_017653805.1
GCF_017653925.1
GCF_017654005.1
GCF_000092565.1
GCF_001412475.2
GCF_001417585.1
GCF_002916855.1
GCF_008831445.1
GCF_008831465.1
GCF_014858915.1
GCF_022509745.1
GCF_001995205.1
GCF_000612525.2
GCF_001047635.1
GCF_001047655.1
GCF_900236655.1
GCF_000007685.1
GCF_003046425.1
GCF_000758045.1
GCF_002018035.1
GCF_015161435.1
GCF_015161445.1
GCF_015161465.1
GCF_015161475.1
GCF_015161535.1
GCF_015161545.1
GCF_015161555.1
GCF_015161575.1
GCF_015161595.1
GCF_015161635.1
GCF_015161645.1
GCF_015161665.1
GCF_015161675.1
GCF_015161715.1
GCF_015161735.1
GCF_015161745.1
GCF_015161755.1
GCF_015161795.1
GCF_015161805.1
GCF_015161835.1
GCF_015161845.1
GCF_015161855.1
GCF_015161895.1
GCF_015161905.1
GCF_015161935.1
GCF_015161945.1
GCF_015161965.1
GCF_015161995.1
GCF_015162005.1
GCF_015162035.1
GCF_015162045.1
GCF_015162055.1
GCF_015162095.1
GCF_015162105.1
GCF_015162135.1
GCF_015162145.1
GCF_015162155.1
GCF_015162195.1
GCF_015162205.1
GCF_015162235.1
GCF_015162245.1
GCF_015162255.1
GCF_015162295.1
GCF_015162305.1
GCF_015162335.1
GCF_015162345.1
GCF_015162355.1
GCF_015162395.1
GCF_015162405.1
GCF_015162415.1
GCF_015162425.1
GCF_015162475.1
GCF_015162515.1
GCF_015162915.1
GCF_015318255.1
GCF_015318305.1
GCF_015318325.1
GCF_015318345.1
GCF_015318355.1
GCF_015162825.1
GCF_015162865.1
GCF_015162935.1
GCF_015162945.1
GCF_015162955.1
GCF_015163015.1
GCF_015163045.1
GCF_001704175.2
GCF_001650015.1
GCF_010287845.2
GCF_014858865.1
GCF_014858935.1
GCF_001010765.1
GCF_000017605.1
GCF_015223365.1
GCF_001022315.1
GCF_000772835.2
GCF_001401895.1
GCF_010095425.1
GCF_000017685.1
GCF_015162625.1
GCF_015162645.1
GCF_015162975.1
GCF_015318545.1
GCF_015318635.1
GCF_003516145.1
GCF_001952685.1
GCF_002018105.1
GCF_000231175.1
GCF_015318575.1
GCF_000313175.2
GCF_000216455.1
GCF_000216415.1
GCF_000217435.1
GCF_000217415.1
GCF_000217395.1
GCF_000217375.1
GCF_000217355.1
GCF_000217335.2
GCF_000217315.1
GCF_000217295.2
GCF_000217535.2
GCF_000217555.2
GCF_000217575.2
GCF_000217275.1
GCF_000217255.1
GCF_000217235.1
GCF_000217215.1
GCF_000217195.1
GCF_000217155.1
GCF_000217135.1
GCF_000217115.1
GCF_000217095.1
GCF_000217075.1
GCF_000217055.1
GCF_000217035.1
GCF_000217015.2
GCF_000216995.1
GCF_000216975.1
GCF_000216955.1
GCF_000216935.1
GCF_000216915.1
GCF_000216895.1
GCF_000216875.1
GCF_000216855.1
GCF_000216835.1
GCF_000216815.1
GCF_000216795.1
GCF_000216775.1
GCF_000216755.1
GCF_000216735.1
GCF_000216715.1
GCF_000216695.1
GCF_000216675.1
GCF_000216655.1
GCF_000216635.1
GCF_000216615.1
GCF_000216595.2
GCF_000216575.1
GCF_000216555.2
GCF_000216535.1
GCF_000216515.1
GCF_000216495.1
GCF_000216475.1
GCF_000216435.1
GCF_000216395.1
GCF_000216375.1
GCF_000216355.1
GCF_000306255.2
GCF_000216195.1
GCF_000216055.1
GCF_000216035.1
GCF_000216095.1
GCF_000216075.1
GCF_000243815.2
GCF_000244495.1
GCF_000246695.1
GCF_000244075.1
GCF_000244255.2
GCF_000246555.1
GCF_000244835.1
GCF_000243715.2
GCF_000243675.2
GCF_000244055.1
GCF_000246135.1
GCF_000246115.1
GCF_000246275.1
GCF_000244015.1
GCF_000246255.1
GCF_000246595.1
GCF_000246535.1
GCF_000246315.1
GCF_000244595.2
GCF_000246455.1
GCF_000246575.1
GCF_000244135.1
GCF_000244155.2
GCF_000244315.2
GCF_000244335.2
GCF_000244115.1
GCF_000246475.1
GCF_000246515.1
GCF_000246495.1
GCF_000246195.1
GCF_000246215.1
GCF_000246235.1
GCF_000243955.2
GCF_000246615.1
GCF_000244395.2
GCF_000243755.2
GCF_000243635.1
GCF_000244415.1
GCF_000246095.1
GCF_000243515.1
GCF_000244095.1
GCF_000243655.2
GCF_000243695.2
GCF_000246175.1
GCF_000246155.1
GCF_000243855.1
GCF_000243615.1
GCF_000246675.1
GCF_000246355.1
GCF_000246335.1
GCF_000243875.1
GCF_000244515.1
GCF_000246295.1
GCF_000243735.2
GCF_000244755.1
GCF_000243835.1
GCF_000244775.1
GCF_000246415.1
GCF_000246435.1
GCF_000246075.1
GCF_000246035.1
GCF_000246055.1
GCF_000246015.1
GCF_000245995.1
GCF_000246395.1
GCF_000246375.1
GCF_000306235.2
GCF_000306135.1
GCF_000306925.1
GCF_000306075.1
GCF_000306295.1
GCF_000306155.2
GCF_000304275.1
GCF_000306115.2
GCF_000332555.2
GCF_000347175.1
GCF_000342365.1
GCF_000347075.1
GCF_000332455.1
GCF_000332415.1
GCF_000332515.2
GCF_000347235.1
GCF_000347215.1
GCF_000347155.1
GCF_000346695.1
GCF_000332395.2
GCF_000347195.1
GCF_000332475.2
GCF_000332535.1
GCF_000332495.1
GCF_001293065.1
GCF_000353225.1
GCF_000343555.1
GCF_000342725.1
GCF_000343395.1
GCF_000342645.1
GCF_000343415.1
GCF_000343435.1
GCF_000342925.1
GCF_000343475.1
GCF_000342985.1
GCF_000343005.1
GCF_000343105.1
GCF_000342765.1
GCF_000343495.1
GCF_000343535.1
GCF_000343085.1
GCF_000342825.1
GCF_000342665.1
GCF_000342845.1
GCF_000343185.1
GCF_000343595.1
GCF_000343575.1
GCF_000343615.1
GCF_000343635.1
GCF_000343205.1
GCF_000343655.1
GCF_000342965.1
GCF_000343245.1
GCF_000343225.1
GCF_000343675.1
GCF_000343695.1
GCF_000343715.1
GCF_000343735.1
GCF_000343755.1
GCF_000343775.1
GCF_000343795.1
GCF_000342705.1
GCF_000343265.1
GCF_000343285.1
GCF_000343835.1
GCF_000343165.1
GCF_000343515.1
GCF_000343305.1
GCF_000342905.1
GCF_000342865.1
GCF_000342685.1
GCF_000343455.1
GCF_000342805.1
GCF_000343025.1
GCF_000343345.1
GCF_000342745.1
GCF_000343375.1
GCF_000342945.1
GCF_000941035.1
GCF_002074815.1
GCF_001981425.1
GCF_001969935.1
GCF_001952675.1
GCF_001981455.1
GCF_014858135.1
