Name,Strain,Nomenclatural status,Taxonomic status,,Clade,,,
Leptospira neocaledonica Thibeaux et al. 2020,CIP 111776; DSM 110364; ES4-­C-­A1; KIT0268,validly published,correct name,,P2,,,
Leptospira noguchii Yasuda et al. 1987,ATCC 43288; CZ 214; CZ 214 K; DSM 21520,validly published,correct name,,P1,,,
Leptospira noumeaensis Vincent et al. 2020,CIP 111783; DSM 110448; KIT0291; PZF14-4,validly published,correct name,,S1,,,
Leptospira ognonensis Vincent et al. 2020,201 702 476; CIP 111805; DSM 110445; KIT0275,validly published,correct name,,S2,,,
Turneriella Leptospira parva Hovind-Hougen et al. 1982,ATCC BAA-1111; DSM 21527; H; NCTC 11395,validly published,synonym,,,,,
Leptospira perdikensis Vincent et al. 2020,CIP 111756; DSM 108410; HP2; KIT0285,validly published,correct name,,S1,,,
Leptospira perolatii Thibeaux et al. 2020,CIP 111868; FH1-­B-­B1; KIT0272,validly published,correct name,,P2,,,
Leptospira putramalaysiae Vincent et al. 2020,CIP 111758; DSM 108518; KIT0276; SSW20,validly published,correct name,,,Now L. stimsonii per Casanovas-Massana 2021,,
Leptospira ryugenii Masuzawa et al. 2019,CIP 111617; JCM 32518; YH101,validly published,correct name,,S2,,,
Leptospira saintgironsiae Thibeaux et al. 2020,CIP 111804; DSM 110357; FH4-­C-­A2; KIT0271,validly published,correct name,,P2,,,
Leptospira santarosai Yasuda et al. 1987,ATCC 43286; DSM 21524; LT 821,validly published,correct name,,P1,,,
Leptospira sarikeiensis Vincent et al. 2020,CIP 111755; DSM 108341; KIT0261; LIMR175,validly published,correct name,,P2,,,
Leptospira selangorensis Vincent et al. 2020,CIP 111754; DSM 108340; KIT0260; SSW17,validly published,correct name,,P2,,,
Leptospira semungkisensis Vincent et al. 2020,CIP 111784; KIT0263; SSS9,validly published,correct name,,P2,,,
Leptospira stimsonii Casanovas-Massana et al. 2020,ATCC-TDS- 162; CLEP00288; KIT0258; Yale,validly published,correct name,,P1,,,
Leptospira terpstrae Smythe et al. 2013,ATCC 700639; DSM 21521; LT 11-33; serovar Hualin,validly published,correct name,,S1,,,
Leptospira tipperaryensis Vincent et al. 2020,CIP 111785; GWTS#1; KIT0296,validly published,correct name,,P1,,,
Leptospira vanthielii Smythe et al. 2013,ATCC 700522; serovar Holland; WaZ Holland,validly published,correct name,,S1,,,
Leptospira venezuelensis Puche et al. 2018,CIP 111407; CLM-U50; DSM 105752,validly published,correct name,,P2,,,
Leptospira weilii Yasuda et al. 1987,ATCC 43285; Celledoni; DSM 22357,validly published,correct name,,P1,,,
Leptospira wolbachii Yasuda et al. 1987,ATCC 43284; CDC; DSM 21523,validly published,correct name,,S1,,,
Leptospira wolffii Slack et al. 2008,Khorat-H2; KIT Khorat-H2; WHO LT1686,validly published,correct name,,P2,,,
Leptospira yanagawae Smythe et al. 2013,ATCC 700523; DSM 21522; Sao Paulo; serovar Saopaulo,validly published,correct name,,S1,,,
Leptospira yasudae Casanovas-Massana et al. 2020,ATCC-TSD-163; CLEP00287; F1; KIT0259,validly published,correct name,,P1,,,
